Subsector,Indicator,Description,Important or not (1-10),Yearly Data (1 or 0),Enough Data,Our category,,https://datarade.ai/users/sign_up,,for start-ups data
Governance and business environment,"Corruption Perceptions Index, 100 = no corruption","The Corruption Perceptions Index (CPI) is a measure used to rank countries based on the level of perceived corruption in their public sector. It is published annually by Transparency International. 
A score of 100 on the CPI indicates no corruption, while lower scores indicate higher levels of perceived corruption. The index is considered a key point indicator as it provides insight into the level of transparency, accountability, and integrity of a country's public sector. A high score on the CPI suggests a low level of corruption, which can attract investment, improve the business environment,
 and support economic growth. On the other hand, low scores indicate a high level of perceived corruption and may deter investment and harm economic development. Thus, the Corruption 
Perceptions Index is important for governments, businesses, and investors in making informed decisions about economic investments and operations.
",,1,1,,,,,
Governance and business environment,"Political rights index, 7 (weak) - 1 (strong)","The Political Rights Index is a measure used to evaluate the extent of political rights and civil liberties enjoyed by citizens in a country. It ranges from 1, which indicates strong political rights and civil
 liberties,
 to 7, which indicates weak political rights and civil liberties. The index is considered a key point indicator as it provides insight into the level of political freedom and democracy in a country. A high score 
on the 
index suggests a strong commitment to political rights and civil liberties, which can improve the investment climate, enhance public trust in government, and support economic growth. On the other hand,
 low
 scores indicate a weak commitment to political rights and civil liberties and may discourage investment and harm economic development. Thus, the Political Rights Index is important for governments,
 businesses
, and investors in making informed decisions about economic investments and operations.",,1,1,,,,,
Governance and business environment,Civil liberties index 7 (weak) - 1 (strong) ,"The Civil Liberties Index is a measure used to evaluate the extent of civil liberties and individual freedoms in a country. It ranges from 1, which indicates strong civil liberties and individual 
freedoms, to 7, which indicates weak civil liberties and individual freedoms. The index is considered a key point indicator as it provides insight into the level of personal freedom and protection 
of individual rights in a country. A high score on the index suggests a strong commitment to civil liberties and individual freedoms, which can enhance public trust in government and support
 economic growth. On the other hand, low scores indicate a weak commitment to civil liberties and individual freedoms and may discourage investment and harm economic development. 
Thus, the Civil Liberties Index is important for governments, businesses, and investors in making informed decisions about economic investments and operations.",,1,1,,,,,
Governance and business environment,"Cost of starting a business, % of income per capita","The cost of starting a business, as a percentage of income per capita, is a measure used to evaluate the ease of starting a new business in a country. It is a key point indicator because it 
provides insight into the level of bureaucracy, regulations, and costs associated with starting a new business in a country. A lower cost of starting a business, as a percentage of income per
 capita, suggests a more favorable business environment, which can attract investment and support economic growth. On the other hand, a high cost of starting a business may deter 
investment and harm economic development. Thus, the cost of starting a business is an important factor for governments, businesses, and investors in making informed decisions about 
economic investments and operations.",,1,1,,,,,
Infrastructure and transport characteristics,"Internet users, percent of population","The percentage of a population that uses the Internet is considered an important key point indicator because it reflects the level of digital connectivity and access to information in a given
 country or region. High levels of Internet usage indicate that a large portion of the population has access to the vast amount of information and resources available online, including educational
 materials, job opportunities, and communication tools. This can have a positive impact on economic growth and social development. Conversely, low levels of Internet usage can indicate a lack 
of access to these resources, which can have negative consequences for the individuals and communities affected.",,1,1,,,,,
Infrastructure and transport characteristics,Fixed broadband internet subscribers per 100 people,"The number of fixed broadband Internet subscribers per 100 people is considered an important key performance indicator because it reflects the level of high-speed Internet connectivity in a given 
country or region. High levels of fixed broadband subscribers per 100 people indicate that a large portion of the population has access to fast and reliable Internet connections, which can enhance 
their ability to work, learn, and access information online. This can have a positive impact on economic growth and social development. On the other hand, low levels of fixed broadband subscribers
 per 100 people can indicate limited access to high-speed Internet, which can negatively impact economic and social development.",,1,1,,,,,
Infrastructure and transport characteristics,"Mobile phone subscribers, in millions","The number of mobile phone subscribers in millions is considered an important key performance indicator because it reflects the level of mobile phone penetration in a given country or region.
 High levels of mobile phone subscribers indicate widespread access to mobile communication technology, which can enhance individuals' ability to stay connected and access information and 
services. This can have positive impacts on economic and social development, including increased access to education and job opportunities, improved healthcare and emergency services, and 
greater political participation. On the other hand, low levels of mobile phone subscribers can indicate limited access to mobile communication technology, which can negatively impact economic and 
social development.",,1,1,,,,,
Infrastructure and transport characteristics,"Mobile phone subscribers, per 100 people","The number of mobile phone subscribers per 100 people is considered an important key performance indicator because it reflects the level of mobile phone penetration in a given country or region.
 High levels of mobile phone subscribers per 100 people indicate widespread access to mobile communication technology, which can enhance individuals' ability to stay connected and access information
 and services. This can have positive impacts on economic and social development, including increased access to education and job opportunities, improved healthcare and emergency services, and
 greater political participation. On the other hand, low levels of mobile phone subscribers per 100 people can indicate limited access to mobile communication technology, which can negatively impact
 economic and social development.",,1,1,,,,,
Infrastructure and transport characteristics,Airline passengers of domestically owned airlines,"The number of airline passengers of domestically owned airlines is considered an important key performance indicator because it reflects the level of domestic air travel within a given country or region.
 High levels of domestically owned airline passengers indicate a strong domestic travel industry and infrastructure, which can have positive impacts on economic growth and development. A well-functioning 
domestic air travel industry can stimulate economic activity by facilitating business travel, tourism, and regional trade, among other things. Low levels of domestically owned airline passengers can indicate 
limited access to air travel within a country or region, which can negatively impact economic and social development.",,1,1,,,,,
Energy and environment,"Alternative and nuclear energy, percent of total energy use","The proportion of alternative and nuclear energy in a country's total energy mix is considered an important key performance indicator because it reflects the level of energy diversification and 
sustainability in a given country or region. High levels of alternative and nuclear energy use indicate a greater reliance on renewable and low-carbon sources of energy, which can have positive
 impacts on the environment and energy security. This can help reduce greenhouse gas emissions, lower dependence on fossil fuels, and promote energy independence. On the other hand, low 
levels of alternative and nuclear energy use can indicate a greater reliance on non-renewable sources of energy, which can have negative impacts on the environment and energy security.",,1,1,,,,,
Energy and environment,"Carbon dioxide emissions, thousands of tonnes","The level of carbon dioxide emissions, measured in thousands of tonnes, is considered an important key performance indicator because it reflects the level of greenhouse gas emissions in a
 given country or region. High levels of carbon dioxide emissions indicate a higher level of fossil fuel use and industrial activity, which can have negative impacts on the environment and climate
 change. This can contribute to global warming and other environmental problems such as air and water pollution. On the other hand, low levels of carbon dioxide emissions can indicate a lower 
level of fossil fuel use and industrial activity, which can have positive impacts on the environment and promote sustainable development. The measurement of carbon dioxide emissions is often 
used as an indicator of a country's efforts to address climate change and promote sustainability.",,1,1,,,,,
Energy and environment,Carbon dioxide emissions per capita,"The level of carbon dioxide emissions per capita is considered an important key performance indicator because it reflects the level of greenhouse gas emissions per person in a given country or 
region. This measure takes into account a country's population and provides a more accurate representation of the impact of greenhouse gas emissions on the environment and climate change. 
High levels of carbon dioxide emissions per capita indicate a higher level of fossil fuel use and industrial activity per person, which can have negative impacts on the environment and climate change. 
This can contribute to global warming and other environmental problems such as air and water pollution. On the other hand, low levels of carbon dioxide emissions per capita can indicate a lower level
 of fossil fuel use and industrial activity per person, which can have positive impacts on the environment and promote sustainable development. The measurement of carbon dioxide emissions per capita
 is often used as an indicator of a country's efforts to address climate change and promote sustainability.",,1,1,,,,,
Energy and environment,"Income from natural resources, percent of GDP","The proportion of income from natural resources, measured as a percentage of Gross Domestic Product (GDP), is considered an important key performance indicator because it reflects the level of 
dependence on 
natural resources in a given country or region. High levels of income from natural resources can indicate a strong reliance on the extraction and export of natural resources, such as oil, gas, minerals, and
 forests.
 This can provide a source of income and support economic growth, but can also create challenges if resources are not managed sustainably or if prices for these resources are volatile. On the other hand, 
low levels
 of income from natural resources can indicate a lower dependence on these resources and a more diversified economy, which can be more resilient to changes in resource prices and can be more sustainable 
in the
 long term. The measurement of income from natural resources as a proportion of GDP is often used as an indicator of a country's efforts to promote sustainable development and reduce dependence on natural 
resources.",,1,1,,,,,
Energy and environment,"Revenue minus production cost of oil, percent of GDP","The difference between oil revenue and production cost, measured as a percentage of Gross Domestic Product (GDP), is considered an important key performance indicator because it
 reflects the
profitability of the oil sector in a given country or region. A positive value indicates that the revenue from oil production is higher than the cost of production, which can provide a source of 
income for 
the country and support economic growth. On the other hand, a negative value indicates that the cost of production is higher than the revenue from oil production, which can result in a net
 loss for the
 country. This measure can be useful in evaluating the competitiveness and sustainability of the oil sector in a given country, as well as the potential impacts of changes in oil prices or 
production costs.
 The measurement of revenue minus production cost of oil as a percentage of GDP is often used as an indicator of a country's efforts to develop a sustainable and profitable oil sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Oil reserves, billion barrels","The size of oil reserves, measured in billions of barrels, is considered an important key performance indicator because it reflects the amount of oil that is available for extraction and use in a given 
country or region. Large oil reserves can provide a source of income and support economic growth, but they can also create challenges if they are not managed sustainably. The size of oil reserves 
can also affect the global oil market and the availability of oil for other countries. The measurement of oil reserves in billions of barrels is often used as an indicator of a country's potential for oil 
production and its potential impact on the global oil market. Additionally, changes in the size of oil reserves over time can reflect the discovery of new reserves, the depletion of existing reserves,
 or changes in the estimation of the size of reserves. The measurement of oil reserves is an important factor in determining a country's energy security and independence, and it is often used in
 energy planning and policymaking.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Oil production, thousand barrels per day","The level of oil production, measured in thousands of barrels per day, is considered an important key performance indicator because it reflects the amount of oil that is being extracted and used
 in a given country or region. The level of oil production can have a significant impact on the economy and the energy sector, as well as on the global oil market. High levels of oil production can 
provide a source of income and support economic growth, but they can also create challenges if they are not managed sustainably. Changes in oil production levels over time can reflect changes 
in the demand for oil, changes in the price of oil, changes in the availability of oil reserves, or changes in the efficiency of oil production processes. The measurement of oil production in thousands
 of barrels per day is often used as an indicator of a country's ability to meet its energy needs and to participate in the global oil market. It is also used in energy planning and policymaking to determine
 the future potential for oil production in a given country.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Oil consumption, thousand barrels per day","The level of oil consumption, measured in thousands of barrels per day, is considered an important key performance indicator as it reflects the amount of oil that is being used in a given country or
 region. The level of oil consumption can have a significant impact on the economy and the energy sector, as well as on the global oil market. High levels of oil consumption can indicate strong 
economic growth and increasing energy demand, but they can also raise concerns about energy security and the environmental impact of oil use. Changes in oil consumption levels over time can
 reflect changes in the demand for energy, changes in the availability of alternative energy sources, changes in energy prices, or changes in energy efficiency. The measurement of oil consumption
 in thousands of barrels per day is often used as an indicator of a country's energy dependence and as a measure of its ability to meet its energy needs. It is also used in energy planning and
 policymaking to determine the future potential for energy consumption in a given country.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Gasoline production, thousand barrels per day","The production of gasoline, measured in thousands of barrels per day, is an important key performance indicator as it reflects the level of gasoline being produced by a given country or region. 
Gasoline production is closely tied to the production of crude oil, as gasoline is a derivative of crude oil. The production of gasoline can have a significant impact on the energy sector and the 
economy, as well as on the global oil market. Changes in gasoline production levels can reflect changes in the demand for gasoline, changes in the availability of crude oil, changes in production 
costs, or changes in technology and refining processes. The measurement of gasoline production in thousands of barrels per day is often used to monitor the performance of the oil and gas industry 
and to assess the potential for future growth in the sector. Additionally, it is used in energy planning and policymaking to determine the future potential for gasoline production in a given country.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Gasoline consumption, thousand barrels per day","Gasoline consumption, measured in thousands of barrels per day, is considered a key indicator of several economic and energy-related factors. It can serve as an indicator of:

Economic activity: Increased gasoline consumption generally corresponds to increased economic activity, as more people are traveling and shipping goods.

Energy consumption patterns: Gasoline consumption provides insight into the energy consumption patterns of a country or region, helping energy planners and policymakers understand the energy 
demands of a population.

Energy independence: The amount of gasoline consumed domestically versus imported can provide information about a country's energy independence and its dependence on foreign sources of energy.

Pricing and production trends: Gasoline consumption can also provide information about pricing and production trends, as changes in supply and demand affect both the price and availability of gasoline.

Overall, gasoline consumption is a widely used and important indicator of economic, energy-related, and transportation trends.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Liquefied petroleum gas production, thousand barrels per day","Liquefied petroleum gas (LPG) production, measured in thousands of barrels per day, is an important indicator for several economic and energy-related factors. Some of the key reasons why LPG
 production is considered a key point indicator include:

Energy demand: LPG production provides insight into the energy demand for non-transportation uses such as cooking, heating, and industrial processes.

Energy production trends: LPG production can give information about trends in energy production and the relative importance of different energy sources in a country or region.

Energy trade: LPG production and trade can also be used to monitor a country's energy exports and imports and its energy security.

Environmental impact: LPG is a cleaner-burning fuel compared to other fossil fuels, and LPG production data can be used to monitor the progress of efforts to reduce greenhouse gas emissions and 
improve air quality.

Overall, LPG production is an important indicator of energy demand and production, energy trade, and environmental sustainability. It provides important information for energy planners, policymakers, 
and stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Liquefied petroleum gas consumption, thousand barrels per day","Liquefied petroleum gas (LPG) consumption, measured in thousands of barrels per day, is an important indicator for several economic and energy-related factors. Some of the key reasons why 
LPG consumption is considered a key point indicator include:

Energy demand: LPG consumption provides insight into the energy demand for non-transportation uses such as cooking, heating, and industrial processes.

Economic activity: LPG consumption can also be used to monitor the level of economic activity in a country or region, as changes in LPG consumption often correspond to changes in economic 
activity.

Energy security: LPG consumption can give information about a country's energy independence and its dependence on foreign sources of energy, providing insight into its energy security.

Environmental impact: LPG is a cleaner-burning fuel compared to other fossil fuels, and LPG consumption data can be used to monitor the progress of efforts to reduce greenhouse gas emissions
 and improve air quality.

Overall, LPG consumption is an important indicator of energy demand, economic activity, energy security, and environmental sustainability. It provides valuable information for energy planners,
 policymakers, and stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Jet fuel production, thousand barrels per day","Jet fuel production, measured in thousands of barrels per day, is an important indicator for several economic and energy-related factors. Some of the key reasons why jet fuel production is considered 
a key point
 indicator include:

Air travel demand: Jet fuel production provides insight into the demand for air travel, which is often closely tied to economic activity and consumer confidence.

Energy production trends: Jet fuel production can give information about trends in energy production and the relative importance of different energy sources in a country or region.

Energy trade: Jet fuel production and trade can also be used to monitor a country's energy exports and imports and its energy security.

Environmental impact: Jet fuel is a significant source of greenhouse gas emissions, and monitoring jet fuel production can provide information on the progress of efforts to reduce these emissions and 
improve air quality.

Overall, jet fuel production is an important indicator of air travel demand, energy production, energy trade, and environmental sustainability. It provides valuable information for energy planners, policymakers, 
and 
stakeholders in the aviation and energy sectors.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Jet fuel consumption, thousand barrels per day","Jet fuel consumption, measured in thousands of barrels per day, is an important indicator for several economic and energy-related factors. Some of the key reasons why jet fuel consumption is
 considered a key point indicator include:

Air travel demand: Jet fuel consumption provides insight into the demand for air travel, which is often closely tied to economic activity and consumer confidence.

Energy demand: Jet fuel consumption can also provide information about the demand for energy for transportation purposes, particularly for the aviation industry.

Environmental impact: Jet fuel is a significant source of greenhouse gas emissions, and monitoring jet fuel consumption can provide information on the progress of efforts to reduce these 
emissions and improve air quality.

Energy security: Jet fuel consumption can give information about a country's energy independence and its dependence on foreign sources of energy, providing insight into its energy security.

Overall, jet fuel consumption is an important indicator of air travel demand, energy demand, environmental sustainability, and energy security. It provides valuable information for energy planners,
 policymakers, and stakeholders in the aviation and energy sectors.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Coal reserves, million short tons","Coal reserves, measured in million short tons, is an important indicator for several economic and energy-related factors. Some of the key reasons why coal reserves are considered a key point
 indicator include:

Energy security: Coal reserves provide insight into a country's energy security, as countries with large coal reserves are less dependent on foreign sources of energy.

Energy production: Coal reserves give information about a country's potential for energy production and its ability to meet its energy needs.

Economic activity: Coal is an important energy source for many countries, and monitoring coal reserves can provide information about trends in economic activity and the level of industrialization in a 
country or region.

Environmental impact: Coal is a significant source of greenhouse gas emissions, and monitoring coal reserves can provide information on the progress of efforts to reduce these emissions and improve
 air quality.

Overall, coal reserves are an important indicator of energy security, energy production, economic activity, and environmental sustainability. They provide valuable information for energy planners, policymakers, 
and stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Coal production, thousand short tons","Coal production, measured in thousands of short tons, is an important indicator for several economic and energy-related factors. Some of the key reasons why coal production is considered a key point indicator include:

Energy production: Coal production provides insight into a country's energy production and its ability to meet its energy needs.

Economic activity: Coal is an important energy source for many countries, and monitoring coal production can provide information about trends in economic activity and the level of industrialization in a 
country or region.

Energy trade: Coal production and trade can also be used to monitor a country's energy exports and imports and its energy security.

Environmental impact: Coal is a significant source of greenhouse gas emissions, and monitoring coal production can provide information on the progress of efforts to reduce these emissions and improve
 air quality.

Overall, coal production is an important indicator of energy production, economic activity, energy trade, and environmental sustainability. It provides valuable information for energy planners, policymakers, 
and stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Coal consumption, thousand short tons","Coal consumption, measured in thousands of short tons, is an important indicator for several economic and energy-related factors. Some of the key reasons why coal consumption is considered a 
key point indicator include:

Energy demand: Coal consumption provides insight into the demand for energy, particularly in the electricity generation sector.

Economic activity: Coal consumption is an indicator of industrial activity and the level of industrialization in a country or region.

Energy security: Coal consumption can give information about a country's energy independence and its dependence on foreign sources of energy, providing insight into its energy security.

Environmental impact: Coal is a significant source of greenhouse gas emissions, and monitoring coal consumption can provide information on the progress of efforts to reduce these emissions and 
improve air quality.

Overall, coal consumption is an important indicator of energy demand, economic activity, energy security, and environmental sustainability. It provides valuable information for energy planners, 
policymakers, and stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Coal imports, thousand short tons","Coal imports, measured in thousands of short tons, is an important indicator for several economic and energy-related factors. Some of the key reasons why coal imports are considered a key 
point indicator include:

Energy security: Coal imports provide information about a country's dependence on foreign sources of energy and its energy security.

Economic activity: Coal imports can be used to monitor a country's industrial activity and level of industrialization.

Trade balances: Coal imports can also be used to monitor a country's trade balances, as well as its overall energy trade.

Environmental impact: Coal is a significant source of greenhouse gas emissions, and monitoring coal imports can provide information on the progress of efforts to reduce these emissions and improve
 air quality.

Overall, coal imports are an important indicator of energy security, economic activity, trade balances, and environmental sustainability. They provide valuable information for energy planners, policymakers,
 and stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Coal exports, thousand short tons","Coal exports, measured in thousands of short tons, is an important indicator for several economic and energy-related factors. Some of the key reasons why coal exports are considered a key point indicator 
include:

Trade balances: Coal exports are a major contributor to a country's trade balances, and monitoring coal exports can provide insight into the country's overall trade performance.

Economic activity: Coal exports are a significant source of revenue for many countries and can be used to monitor a country's economic activity and level of industrialization.

Energy security: Coal exports can also provide information about a country's energy independence and its ability to meet its own energy needs.

Environmental impact: Coal is a significant source of greenhouse gas emissions, and monitoring coal exports can provide information on the progress of efforts to reduce these emissions and improve air
 quality.

Overall, coal exports are an important indicator of trade balances, economic activity, energy security, and environmental sustainability. They provide valuable information for energy planners, policymakers, 
and 
stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Electricity production capacity, million kilowatts","Electricity production capacity, measured in millions of kilowatts, is an important indicator for several economic and energy-related factors. Some of the key reasons why electricity production capacity
 is considered a key point indicator include:

Energy demand: Electricity production capacity provides information about a country's ability to meet its energy demand, and its ability to meet the increasing demand for electricity as a result of 
population growth and economic development.

Economic activity: Electricity production capacity can be used to monitor a country's level of industrialization, and its ability to support economic growth and development.

Energy security: Electricity production capacity can give information about a country's energy independence and its dependence on foreign sources of energy, providing insight into its energy security.

Environmental impact: Monitoring electricity production capacity can provide information on the progress of efforts to reduce greenhouse gas emissions and improve air quality, as well as information 
on the mix of energy sources being used for electricity generation.

Overall, electricity production capacity is an important indicator of energy demand, economic activity, energy security, and environmental sustainability. It provides valuable information for energy planners, 
policymakers, and stakeholders in the energy sector.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Electricity production, billion kilowatthours","The production of electricity in billion kilowatt hours (BkWh) is a key indicator of a country's energy production capacity and economic activity. It provides insight into the demand for energy and 
the capacity of the energy generation sector to meet that demand. This information is important for policy makers to plan for future energy needs and for businesses to make investment decisions 
in the energy sector. The production of electricity also has a direct impact on the environment, as the methods used to generate electricity can lead to emissions of greenhouse gases and other
pollutants. Tracking the production of electricity in BkWh can help assess the efficiency and sustainability of a country's energy production practices.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Electricity consumption, billion kilowatthours","Electricity consumption measured in billion kilowatt hours (BkWh) is an important indicator of a country's overall energy consumption and economic activity. It provides insight into the level of
 energy demand and can be used to monitor changes in energy consumption patterns over time. This information is important for policymakers to make informed decisions about energy policy,
 such as investment in renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking electricity consumption in BkWh can also help to identify areas 
for energy savings and to assess the effectiveness of energy efficiency initiatives. It can also be used by businesses to make decisions about energy procurement and usage.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Electricity imports, billion kilowatthours","Electricity imports measured in billion kilowatt hours (BkWh) are an important indicator of a country's energy self-sufficiency and reliance on other countries for energy. It provides insight into 
a country's ability to meet its own energy demand and its dependence on energy imports. This information is important for policymakers to make decisions about energy security and to plan for 
energy independence. Additionally, tracking electricity imports in BkWh can help to identify opportunities for domestic energy production and to assess the effectiveness of energy diversification 
strategies. It can also be used by businesses to make informed decisions about energy procurement and usage, and to evaluate the potential for international trade in electricity. Understanding 
the level of electricity imports can help to inform decisions about energy policies and investment in energy infrastructure.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Electricity exports, billion kilowatthours","Electricity exports measured in billion kilowatt hours (BkWh) are an important indicator of a country's energy production capacity and competitiveness in the global energy market. It provides
 insight into the surplus energy production that can be sold to other countries and can be used to monitor changes in energy export patterns over time. This information is important for policymakers
 to make informed decisions about energy policy, such as investment in renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking electricity exports 
in BkWh can help to identify areas for energy savings and to assess the effectiveness of energy diversification strategies. It can also be used by businesses to evaluate the potential for international 
trade in electricity and to make informed decisions about energy procurement and usage. Understanding the level of electricity exports can help to inform decisions about energy policies, investment in
 energy infrastructure, and competitiveness in the global energy market.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Renewable power capacity, million kilowatts","Renewable power capacity measured in million kilowatts (MW) is an important indicator of a country's progress in transitioning to a low-carbon, sustainable energy system. It provides insight into the
 level of investment and deployment of renewable energy technologies, such as solar, wind, hydropower, and bioenergy. This information is important for policymakers to make informed decisions 
about energy 
policy, such as investment in renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking renewable power capacity in MW can help to monitor progress
 towards renewable energy targets and to assess the effectiveness of energy diversification strategies. It can also be used by businesses to evaluate investment opportunities in renewable energy and 
to make informed decisions about energy procurement and usage. Understanding the level of renewable power capacity can help to inform decisions about energy policies, investment in energy i
nfrastructure, and the transition to a low-carbon, sustainable energy system.",,1,1,,,,,
"Industry: Oil, coal, and electricity","Renewable power generation, billion kilowatthours","Renewable power generation measured in billion kilowatt hours (BkWh) is an important indicator of a country's progress in transitioning to a low-carbon, sustainable energy system. It provides 
insight into the actual amount of energy being produced from renewable sources, such as solar, wind, hydropower, and bioenergy. This information is important for policymakers to make informed
 decisions about energy policy, such as investment in renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking renewable power generation in BkWh 
can help to monitor progress towards renewable energy targets and to assess the effectiveness of energy diversification strategies. It can also be used by businesses to evaluate investment opportunities
 in renewable energy and to make informed decisions about energy procurement and usage. Understanding the level of renewable power generation can help to inform decisions about energy policies, 
investment in energy infrastructure, and the transition to a low-carbon, sustainable energy system.",,1,1,,,,,
Energy mix,"Fossil fuels electricity capacity, million kilowatts","Fossil fuels electricity capacity measured in million kilowatts (MW) is an important indicator of a country's energy mix and reliance on non-renewable energy sources. It provides insight into the
 level of investment and deployment of fossil fuel-based power generation technologies, such as coal, natural gas, and oil. This information is important for policymakers to make informed decisions 
about energy policy, such as investment in renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking fossil fuels electricity capacity in MW can help
 to monitor progress towards reducing dependence on non-renewable energy sources and to assess the effectiveness of energy diversification strategies. It can also be used by businesses to evaluate
 investment opportunities in alternative energy sources and to make informed decisions about energy procurement and usage. Understanding the level of fossil fuels electricity capacity can help 
to inform decisions about energy policies, investment in energy infrastructure, and the transition to a low-carbon, sustainable energy system.",,1,1,,,,,
Energy mix,"Fossil fuels electricity generation, billion kilowatthours","Fossil fuels electricity generation measured in billion kilowatt hours (BkWh) is an important indicator of a country's energy mix and reliance on non-renewable energy sources. It provides insight
 into the actual amount of energy being produced from fossil fuel-based power generation technologies, such as coal, natural gas, and oil. This information is important for policymakers to make 
informed decisions about energy policy, such as investment in renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking fossil fuels electricity
 generation in BkWh can help to monitor progress towards reducing dependence on non-renewable energy sources and to assess the effectiveness of energy diversification strategies. It can also
 be used by businesses to evaluate investment opportunities in alternative energy sources and to make informed decisions about energy procurement and usage. Understanding the level of 
fossil fuels electricity generation can help to inform decisions about energy policies, investment in energy infrastructure, and the transition to a low-carbon, sustainable energy system.",,1,1,,,,,
Energy mix,"Wind electricity capacity, million kilowatts","Wind electricity capacity measured in million kilowatts (MW) is an important indicator of a country's progress in deploying wind energy technology. It provides insight into the level of investment 
and deployment of wind power generation systems. This information is important for policymakers to make informed decisions about energy policy, such as investment in renewable energy sources, 
energy efficiency programs, and infrastructure upgrades. Additionally, tracking wind electricity capacity in MW can help to monitor progress towards renewable energy targets and to assess the
effectiveness of energy diversification strategies. It can also be used by businesses to evaluate investment opportunities in wind energy and to make informed decisions about energy procurement 
and usage. Understanding the level of wind electricity capacity can help to inform decisions about energy policies, investment in energy infrastructure, and the transition to a low-carbon, sustainable
energy system.",,1,1,,,,,
Energy mix,"Wind electricity generation, billion kilowatthours","Wind electricity generation measured in billion kilowatt hours (BkWh) is an important indicator of a country's progress in utilizing wind energy technology. It provides insight into the actual 
amount of energy being produced from wind power generation systems. This information is important for policymakers to make informed decisions about energy policy, such as investment in
 renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking wind electricity generation in BkWh can help to monitor progress towards renewable 
energy targets and to assess the effectiveness of energy diversification strategies. It can also be used by businesses to evaluate investment opportunities in wind energy and to make informed 
decisions about energy procurement and usage. Understanding the level of wind electricity generation can help to inform decisions about energy policies, investment in energy infrastructure, 
and the transition to a low-carbon, sustainable energy system.",,1,1,,,,,
Energy mix,"Solar electricity capacity, million kilowatts","Solar electricity capacity measured in million kilowatts (MW) is an important indicator of a country's progress in deploying solar energy technology. It provides insight into the level of investment 
and deployment of solar power generation systems. This information is important for policymakers to make informed decisions about energy policy, such as investment in renewable energy sources,
 energy efficiency programs, and infrastructure upgrades. Additionally, tracking solar electricity capacity in MW can help to monitor progress towards renewable energy targets and to assess the 
effectiveness of energy diversification strategies. It can also be used by businesses to evaluate investment opportunities in solar energy and to make informed decisions about energy procurement 
and usage. Understanding the level of solar electricity capacity can help to inform decisions about energy policies, investment in energy infrastructure, and the transition to a low-carbon, sustainable 
energy system.",,1,1,,,,,
Energy mix,"Solar electricity generation, billion kilowatthours","Solar electricity generation measured in billion kilowatt hours (BkWh) is an important indicator of a country's progress in utilizing solar energy technology. It provides insight into the actual 
amount of energy being produced from solar power generation systems. This information is important for policymakers to make informed decisions about energy policy, such as investment 
in renewable energy sources, energy efficiency programs, and infrastructure upgrades. Additionally, tracking solar electricity generation in BkWh can help to monitor progress towards renewable
 energy targets and to assess the effectiveness of energy diversification strategies. It can also be used by businesses to evaluate investment opportunities in solar energy and to make informed 
decisions about energy procurement and usage. Understanding the level of solar electricity generation can help to inform decisions about energy policies, investment in energy infrastructure, 
and the transition to a low-carbon, sustainable energy system.",,1,1,,,,,
